"Brand,""Sottobrand"",""Tipologia"",""EAN"",""COD."",""Descrizione"",""PZ / CRT"",""listino unitario  2025"",""Prezzo netto"""
"Pritt,""Stick"",""BTS"",""8004630931118"",""1567516"",""PRITT colla Stick 11g - bl 2 +1pz gratis BTS 2024 Palbox"",""144"",""3.20"",""0"""
"Pritt,""Stick"",""BTS"",""8004630890903"",""2628575"",""PRITT colla Stick 11g - bl 3 +2pz gratis BTS 2024 Strip"",""12"",""4.69"",""0"""
"Pritt,""Stick"",""BTS"",""8004630890903"",""1882568"",""PRITT colla Stick 11g - bl 3 +2pz gratis BTS 2024 Palbox Slim"",""60"",""4.69"",""0"""
"Pritt,""Stick"",""BTS"",""8004630890903"",""1567517"",""PRITT colla Stick 11g - bl 3 +2pz gratis BTS 2024 Palbox"",""120"",""4.69"",""0"""
"Pritt,""Stick"",""BTS"",""8004630931293"",""2924430"",""PRITT colla Stick 11g - bl 7pz MAXI OFFERTA Cartone (solo NAM)"",""12"",""8.48"",""0"""
"Pritt,""Stick"",""BTS"",""8004630931293"",""2935375"",""PRITT colla Stick 11g - bl 7pz MAXI OFFERTA Palbox"",""60"",""8.48"",""0"""
"Pritt,""Stick"",""STD"",""84155870"",""199986"",""PRITT colla Stick 22g - trays 3x12"",""36"",""1.73"",""0"""
"Pritt,""Stick"",""STD"",""8004630878154"",""2741300"",""PRITT colla Stick 22g - Ocean"",""12"",""2.69"",""0"""
"Pritt,""Stick"",""STD"",""4015000416566"",""2741299"",""PRITT colla Stick 22g - bl 2pz - Ocean"",""12"",""5.11"",""0"""
"Pritt,""Stick"",""STD"",""4015000416566"",""2796373"",""PRITT colla Stick 22g - bl 2pz MAXI OFFERTA BTS 2024 Cartone"",""12"",""5.11"",""0"""
"Pritt,""Stick"",""BTS"",""4015000416566"",""2924365"",""PRITT colla Stick 22g - bl 2pz MAXI OFFERTA BTS 2024 Palbox "",""156"",""5.11"",""0"""
"Pritt,""Stick"",""STD"",""4015000416566"",""1682209"",""PRITT colla Stick 22g - bl 2pz - 2 Strip da 6pz"",""12"",""5.11"",""0"""
"Pritt,""Stick"",""STD"",""4015000416566"",""1634502"",""PRITT colla Stick 22g - bl 2pz - Palbox 72pz"",""72"",""5.11"",""0"""
"Pritt,""Stick"",""BTS"",""4015000417730"",""2883388"",""PRITT colla Stick 22g - bl 3+1pz gratis BTS 2024 Cartone"",""12"",""8.73"",""0"""
"Pritt,""Stick"",""BTS"",""4015000417730"",""1567514"",""PRITT colla Stick 22g - bl 3+1pz gratis BTS 2024 Palbox"",""120"",""8.73"",""0"""
"Pritt,""Stick"",""STD"",""8004630882472"",""243659"",""PRITT colla Stick 22g PVC 4pz"",""10"",""8.73"",""0"""
"Pritt,""Stick"",""STD"",""8410020008931"",""199990"",""PRITT colla Stick 43g - trays 5x10"",""50"",""2.54"",""0"""
"Pritt,""Stick"",""STD"",""4015000416931"",""2741402"",""PRITT colla Stick 43g bl 2pz - Ocean"",""12"",""6.34"",""0"""
"Pritt,""Stick"",""BTS"",""4015000416931"",""2796238"",""PRITT colla Stick 43g - bl 2pz MAXI OFFERTA BTS 2024 Cartone"",""12"",""6.34"",""0"""
"Pritt,""Stick"",""BTS"",""4015000416931"",""2983376"",""PRITT colla Stick 43g - bl 2pz MAXI OFFERTA BTS 2024 Palbox "",""120"",""6.34"",""0"""
"Pritt,""Stick"",""PROM"",""4015000416566"",""2765928"",""PRITT colla Stick 2x22g+1x10g Fun Color Verde "",""12"",""5.11"",""0"""
"Pritt,""Stick"",""BTS"",""8004630934676"",""3026167"",""PRITT Stick 11g - bl 2 +1pz gratis BTS 2025 Cartone"",""12"",""3.20"",""0"""
"Pritt,""Stick"",""BTS"",""8004630934676"",""3045450"",""PRITT Stick 11g - bl 2 +1pz gratis BTS 2025 Palbox"",""144"",""3.20"",""0"""
"Pritt,""Stick"",""BTS"",""8004630934713"",""3026213"",""PRITT Stick 11g - bl 3 +2pz gratis BTS 2025 Cartone"",""12"",""4.69"",""0"""
"Pritt,""Stick"",""BTS"",""8004630934713"",""3045259"",""PRITT Stick 11g - bl 3 +2pz gratis BTS 2025 Strip"",""12"",""4.69"",""0"""
"Pritt,""Stick"",""BTS"",""8004630934713"",""3045449"",""PRITT Stick 11g - bl 3 +2pz gratis BTS 2025 Palbox Slim"",""60"",""4.69"",""0"""
"Pritt,""Stick"",""BTS"",""8004630934713"",""3045448"",""PRITT Stick 11g - bl 3 +2pz gratis  BTS 2025 Palbox"",""120"",""4.69"",""0"""
"Pritt,""Stick"",""PROM"",""8004630931293"",""2924430"",""PRITT colla Stick 11g - bl 7pz MAXI OFFERTA Cartone (solo NAM)"",""12"",""8.48"",""0"""
"Pritt,""Stick"",""PROM"",""8004630931293"",""2935375"",""PRITT colla Stick 11g - bl 7pz MAXI OFFERTA Palbox"",""60"",""8.48"",""0"""
"Pritt,""Stick"",""PROM"",""4015000416566"",""2796373"",""PRITT Stick 22g - bl 2pz MAXI OFFERTA BTS 2025 Cartone"",""12"",""5.11"",""0"""
"Pritt,""Stick"",""PROM"",""4015000416566"",""2924806"",""PRITT Stick 22g - bl 2pz MAXI OFFERTA BTS 2025 Strip "",""12"",""5.11"",""0"""
"Pritt,""Stick"",""PROM"",""4015000416566"",""2924807"",""PRITT Stick 22g - bl 2pz MAXI OFFERTA BTS 2025 Palbox Slim "",""72"",""5.11"",""0"""
